,Country,Region,GI,CPI,ULT
0,New Zealand,Asia Pacific,83,90,86.5
1,Denmark,Europe and Central Asia,83,90,86.5
2,Finland,Europe and Central Asia,83,89,86.0
3,Sweden,Europe and Central Asia,83,88,85.5
4,Switzerland,Europe and Central Asia,83,86,84.5
5,Norway,Europe and Central Asia,83,85,84.0
6,Singapore,Asia Pacific,83,84,83.5
7,Netherlands,Europe and Central Asia,83,83,83.0
8,Canada,Americas,83,82,82.5
10,Luxembourg,Europe and Central Asia,83,81,82.0
9,Germany,Europe and Central Asia,83,81,82.0
12,Australia,Asia Pacific,83,79,81.0
13,Iceland,Europe and Central Asia,83,78,80.5
14,Hong Kong,Asia Pacific,83,77,80.0
15,Belgium,Europe and Central Asia,83,77,80.0
11,United Kingdom,Europe and Central Asia,71,81,76.0
16,Austria,Europe and Central Asia,71,75,73.0
17,The United States of America,Americas,71,74,72.5
18,Ireland,Europe and Central Asia,71,73,72.0
19,Japan,Asia Pacific,71,72,71.5
21,Estonia,Europe and Central Asia,71,70,70.5
22,France,Europe and Central Asia,71,69,70.0
26,Bhutan,Asia Pacific,71,65,68.0
31,Taiwan,Asia Pacific,71,61,66.0
30,Barbados,Americas,71,61,66.0
33,Slovenia,Europe and Central Asia,71,61,66.0
20,Uruguay,Americas,59,71,65.0
41,Brunei,Asia Pacific,71,58,64.5
24,Chile,Americas,59,66,62.5
23,Bahamas,Americas,59,66,62.5
27,Israel,Middle East and North Africa,59,64,61.5
28,Poland,Europe and Central Asia,59,62,60.5
29,Portugal,Europe and Central Asia,59,62,60.5
35,Saint Vincent and The Grenadines,Americas,59,60,59.5
36,Botswana,Sub-Saharan Africa,59,60,59.5
37,Dominica,Americas,59,59,59.0
38,Cape Verde,Sub-Saharan Africa,59,59,59.0
39,Lithuania,Europe and Central Asia,59,59,59.0
40,Costa Rica,Americas,59,58,58.5
42,Spain,Europe and Central Asia,59,58,58.5
44,Latvia,Europe and Central Asia,59,57,58.0
48,Malta,Europe and Central Asia,59,55,57.0
47,Czech Republic,Europe and Central Asia,59,55,57.0
25,United Arab Emirates,Middle East and North Africa,47,66,56.5
49,Mauritius,Sub-Saharan Africa,59,54,56.5
50,Rwanda,Sub-Saharan Africa,59,54,56.5
52,Namibia,Sub-Saharan Africa,59,52,55.5
53,Slovakia,Europe and Central Asia,59,51,55.0
54,Malaysia,Asia Pacific,59,49,54.0
32,Qatar,Middle East and North Africa,47,61,54.0
57,Hungary,Europe and Central Asia,59,48,53.5
34,Saint Lucia,Americas,47,60,53.5
58,Romania,Europe and Central Asia,59,48,53.5
60,Italy,Europe and Central Asia,59,47,53.0
43,Georgia,Europe and Central Asia,47,57,52.0
45,Grenada,Americas,47,56,51.5
46,Cyprus,Europe and Central Asia,47,55,51.0
51,Korea (South),Asia Pacific,47,53,50.0
85,Lesotho,Sub-Saharan Africa,59,39,49.0
55,Croatia,Europe and Central Asia,47,49,48.0
59,Cuba,Americas,47,47,47.0
62,Sao Tome and Principe,Sub-Saharan Africa,47,46,46.5
